Call Type,DateTime,Service Level,Abandoned Within Service Level,Avg Speed of Answer,Tasks,,,,Completed Tasks,,,,,,,,,,,,Max Queued,Longest Queued
,,,,,Offered,Assigned From Queue,Answered,Answer Wait Time,Handled,Abandoned,Return,Default_Treatment,Network Routed,Flow Out,Calls Error,Other,% Queued,% Aban,Average Abandon Delay,Short Calls,,
General_IT_CT,3/30/26 7:00:00 AM,90.00%,0,0:00:20,10,0,10,0:03:18,9,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:50
,3/30/26 7:30:00 AM,93.75%,0,0:00:13,17,0,16,0:03:27,15,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:41
,3/30/26 8:00:00 AM,88.89%,1,0:00:17,18,0,18,0:05:01,16,1,0,0,0,0,0,0,0.00%,5.88%,0:00:44,0,0,0:00:37
,3/30/26 8:30:00 AM,91.30%,0,0:00:14,23,0,23,0:05:13,25,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:35
,3/30/26 9:00:00 AM,95.24%,0,0:00:16,21,0,21,0:05:38,20,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:57
,3/30/26 9:30:00 AM,100.00%,0,0:00:15,18,0,18,0:04:22,20,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:27
,3/30/26 10:00:00 AM,92.86%,0,0:00:17,14,0,14,0:03:54,12,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:54
,3/30/26 10:30:00 AM,77.78%,0,0:00:19,18,0,18,0:05:40,19,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:39
,3/30/26 11:00:00 AM,83.33%,0,0:00:19,6,0,6,0:01:56,7,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:44
,3/30/26 11:30:00 AM,100.00%,1,0:00:16,8,0,7,0:01:52,8,1,0,0,0,0,0,0,0.00%,11.11%,0:01:07,0,0,0:00:25
,3/30/26 12:00:00 PM,40.00%,0,0:00:26,5,0,4,0:01:42,3,1,0,0,0,0,0,0,0.00%,25.00%,0:01:22,0,0,0:00:38
,3/30/26 12:30:00 PM,100.00%,0,0:00:14,3,0,3,0:00:43,3,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:17
,3/30/26 1:00:00 PM,100.00%,0,0:00:14,9,0,8,0:01:53,9,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:24
,3/30/26 1:30:00 PM,90.91%,0,0:00:15,10,0,11,0:02:43,10,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:47
,3/30/26 2:00:00 PM,100.00%,0,0:00:16,10,0,10,0:02:38,10,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:30
,3/30/26 2:30:00 PM,100.00%,0,0:00:15,13,0,13,0:03:15,13,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:28
General_IT_CT,,91.54%,2,0:00:16,203,0,200,0:53:15,199,3,0,0,0,0,0,0,0.00%,1.49%,0:01:04,0,0,0:00:57
RTPS_CT,3/30/26 7:30:00 AM,100.00%,0,0:00:08,1,0,1,0:00:08,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:08
,3/30/26 10:30:00 AM,0.00%,0,0:00:46,1,0,1,0:00:46,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:46
,3/30/26 2:00:00 PM,100.00%,0,0:00:12,2,0,2,0:00:24,2,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:13
RTPS_CT,,75.00%,0,0:00:20,4,0,4,0:01:18,4,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:46
SAP_CT,3/30/26 7:30:00 AM,100.00%,0,0:00:05,2,0,2,0:00:11,2,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:07
,3/30/26 8:00:00 AM,75.00%,0,0:00:18,5,0,4,0:01:12,4,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:33
,3/30/26 8:30:00 AM,100.00%,0,0:00:16,1,0,2,0:00:31,2,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:19
,3/30/26 9:00:00 AM,100.00%,0,0:00:16,1,0,1,0:00:16,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:16
,3/30/26 9:30:00 AM,100.00%,0,0:00:13,1,0,1,0:00:13,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:13
,3/30/26 10:00:00 AM,100.00%,0,0:00:17,2,0,2,0:00:33,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:17
,3/30/26 10:30:00 AM,100.00%,0,0:00:11,3,0,3,0:00:32,4,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:12
,3/30/26 1:00:00 PM,100.00%,0,0:00:21,1,0,1,0:00:21,0,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:21
,3/30/26 1:30:00 PM,100.00%,0,0:00:13,4,0,4,0:00:52,5,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:21
,3/30/26 2:00:00 PM,100.00%,0,0:00:12,3,0,3,0:00:35,3,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:18
,3/30/26 2:30:00 PM,100.00%,0,0:00:13,1,0,1,0:00:13,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:13
SAP_CT,,95.83%,0,0:00:14,24,0,24,0:05:29,24,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:33
Subsurface_CT,3/30/26 8:00:00 AM,100.00%,0,0:00:03,1,0,1,0:00:03,0,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:03
,3/30/26 8:30:00 AM,0.00%,0,0:00:00,0,0,0,0:00:00,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:00
,3/30/26 9:30:00 AM,100.00%,0,0:00:06,1,0,1,0:00:06,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:06
,3/30/26 11:00:00 AM,0.00%,1,0:00:00,1,0,0,0:00:00,0,1,0,0,0,0,0,0,0.00%,100.00%,0:00:43,0,0,0:00:17
Subsurface_CT,,100.00%,1,0:00:05,3,0,2,0:00:09,2,1,0,0,0,0,0,0,0.00%,33.33%,0:00:43,0,0,0:00:17
Telcom_CT,3/30/26 7:00:00 AM,100.00%,0,0:00:11,2,0,2,0:00:21,2,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:15
,3/30/26 8:00:00 AM,100.00%,0,0:00:18,1,0,1,0:00:18,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:18
,3/30/26 9:30:00 AM,100.00%,0,0:00:05,1,0,1,0:00:05,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:05
,3/30/26 10:00:00 AM,100.00%,0,0:00:22,1,0,1,0:00:22,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:22
,3/30/26 10:30:00 AM,100.00%,0,0:00:07,1,0,1,0:00:07,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:07
,3/30/26 1:00:00 PM,100.00%,0,0:00:16,1,0,1,0:00:16,1,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:16
Telcom_CT,,100.00%,0,0:00:13,7,0,7,0:01:29,7,0,0,0,0,0,0,0,0.00%,0.00%,0:00:00,0,0,0:00:22
,,92.02%,3,0:00:16,241,0,237,1:01:40,236,4,0,0,0,0,0,0,0.00%,1.67%,0:00:59,0,0,0:00:57
"Generated on March 30, 2026 3:14:10 PM GST by CORP\mucn464 (40 records).  ",,,,,,,,,,,,,,,,,,,,,,
"Filter Call Types: 5004, 5005, 5006, 5012, 5016; DateTime: Today, From 12:00 AM To 11:59 PM; ",,,,,,,,,,,,,,,,,,,,,,
